tahun,jumlah
1969,6678
1970,7326
1971,8350
1972,8785
1973,10249
1974,11019
1975,10901
1976,79946
1977,91693
1978,103748
1979,110119
1980,113178
1981,116018
1982,119977
1983,123684
1984,130630
1985,134337
1986,137031
1987,26560
1988,22444
1989,22522
1990,134171
1991,137285
1992,141781
1993,146299
1994,149324
1995,151717
1996,398676
1997,396870
1998,392479
1999,393949
2000,395725
2001,395000
2002,388401
2003,412127
2004,410285
2005,493292
2006,449784
2007,426233
2008,443502
2009,477088
2010,477066
2011,466872
2012,537030
